epoch,step,validation_epoch_average
0,599,0.22994464635849
1,1199,0.17085330188274384
2,1799,0.12732760608196259
3,2399,0.1074892207980156
4,2999,0.09959331899881363
5,3599,0.09777329862117767
6,4199,0.08403073251247406
7,4799,0.08204763382673264
8,5399,0.078437939286232
9,5999,0.07715291529893875
10,6599,0.07408513128757477
11,7199,0.07707430422306061
12,7799,0.0770823061466217
13,8399,0.0772133395075798
14,8999,0.07919522374868393
15,9599,0.08293332904577255
16,10199,0.08041924238204956
17,10799,0.08175468444824219
18,11399,0.08407920598983765
19,11999,0.08386201411485672
